Grossratswahlen 2018 / Election du Grand Conseil 2018
Sitzverteilung und Wähleranteile / Répartition des sièges et pourcentage des voix
Wahlkreis / Cercle électoral: Mittelland-Süd
Listennr.;Kürzel;Sitze;Frauen;Parteistimmen;Wähleranteil;Gewählte
No liste;Sigle;Sièges;Femmes;Suffrages de parti;Pourcentage;Personnes élues
1;Sozialdemokratische Partei und Gewerkschaften - Männer;2;0;50'183;8.7%;2
2;Sozialdemokratische Partei und Gewerkschaften - Frauen;3;3;76'301;13.2%;3
3;JUSO;0;0;10'302;1.8%;0
4;Eidgenössisch-Demokratische Union;1;1;24'506;4.2%;1
5;Grünliberale;2;0;42'086;7.3%;2
6;Junge Grünliberale;0;0;8'504;1.5%;0
7;SVP Mittelland-Süd, Liste West;3;1;99'276;17.1%;3
8;SVP Mittelland-Süd, Liste Ost;2;0;55'604;9.6%;2
9;Evangelische Volkspartei;1;0;34'577;6.0%;1
10;Evangelische Volkspartei Zukunft;0;0;7'857;1.4%;0
11;Grüne;2;1;56'079;9.7%;2
12;FDP. Die Liberalen;2;0;63'129;10.9%;2
13;Bürgerlich-Demokratische Partei des Kantons Bern;2;1;50'688;8.8%;2
Wahlkreis / Cercle électoral: Mittelland-Süd
Listennr.;Kürzel;Sitze;Frauen;Parteistimmen;Wähleranteil;Gewählte
No liste;Sigle;Sièges;Femmes;Suffrages de parti;Pourcentage;Personnes élues
;Total:;20;7;579'092;100.0%;20
Wahlberechtigte / Nombre d'électeurs;97'345
Eingelangte Wahlzettel / Bulletins rentrés;29'512
Leere Wahlzettel / Blancs;29
Ungültige Wahlzettel / Nuls;187
Gültige Wahlzettel / Bulletins valables;29'296
Wahlbeteiligung / Participation électorale;30.3%

Liste;1;Sozialdemokratische Partei und Gewerkschaften - Männer
Kürzel / Sigle;SP-Männer;
Sitze / Sièges;2;
Kandidatenstimmen /Total des suffrages nominatifs;45553;
Zusatzstimmen / Suffrages complémentaires;4630;
Parteistimmen / Total des suffrages de parti;50183;
Rang;Name;Vorname;Geb.-Datum;Beruf;Wohnort;Stimmen;Bisher
;Nom;Prénom;Ann. naiss.;Profession;Domicile;Suffrages;Sortant-e
Gewählte/Personnes élues
1;Mentha;Luc;1952;Fürsprecher;Liebefeld;7'324;x
2;Wildhaber;Daniel;1960;Schulleiter;Rubigen;5'945;x
Stimmen haben erhalten/Ont obtenu des suffrages
3;Neuenschwander;Stefan;1985;Notariatsangestellter, Gemeindevizepräsident;Belp;4'723;
4;Roth;Christian;1967;Sozialarbeiter FH, Mitglied Parlament Köniz;Liebefeld;4'351;
5;Lehmann;Stefan;1974;Projektportfoliomanager, Gemeindepräsident;Gerzensee;4'193;
6;Schneider;Andreas;1965;Biolandwirt;Walkringen;4'104;
7;Lüthi;Ruedi;1959;dipl. Informatiker, MAS Projectmanagement;Spiegel;4'058;
8;Kelkouli;Eddine;1990;Leiter Abteilung Mikrobiologie;Wabern;3'969;
9;Schmucki;Bruno;1965;PR-Fachmann;Mittelhäusern;3'620;
10;Schneider;Reto;1982;Koch, Lebensmitteltechnologe;Oberdiessbach;3'266;

Liste;2;Sozialdemokratische Partei und Gewerkschaften - Frauen
Kürzel / Sigle;SP-Frauen;
Sitze / Sièges;3;
Kandidatenstimmen /Total des suffrages nominatifs;72146;
Zusatzstimmen / Suffrages complémentaires;4155;
Parteistimmen / Total des suffrages de parti;76301;
Rang;Name;Vorname;Geb.-Datum;Beruf;Wohnort;Stimmen;Bisher
;Nom;Prénom;Ann. naiss.;Profession;Domicile;Suffrages;Sortant-e
Gewählte/Personnes élues
1;Striffeler-Mürset;Elisabeth;1958;Fachfrau für Intensivpflege, Gerontologin MAS;Münsingen;9'495;x
2;Gabi Schönenberger;Sarah;1978;Juristin, Lehrerin;Schwarzenburg;9'424;x
3;Bauer;Tanja;1983;Politikwissenschaftlerin, Projektleiterin;Wabern;7'938;
Stimmen haben erhalten/Ont obtenu des suffrages
4;Berger-Sturm;Karin;1956;Dr. phil. nat. Biologin, Leiterin Weiterbildung;Grosshöchstetten;6'924;
5;Descombes-Della Schiava;Vanda;1953;Arbeitspsychologin, Mitglied Parlament Köniz;Liebefeld;6'589;
6;Steiner;Isabelle;1988;Sozialarbeiterin Msc FH, wissenschaftliche Assistentin;Wabern;6'521;
7;Huber-Kaiser;Thekla;1967;Supervisorin, Organisationsberaterin BSO;Münsingen;6'459;
8;Rüegsegger;Brigitte;1956;Lehrerin, Töpferin;Rüeggisberg;6'394;
9;Eichenberger Bachmann;Susanne;1964;Mütter-Väterberaterin;Walkringen;6'391;
10;Von Wartburg;Käthi;1962;Geschäftsführende Inhaberin einer Sprachschule;Liebefeld;6'011;

Liste;3;JUSO
Kürzel / Sigle;JUSO;
Sitze / Sièges;0;
Kandidatenstimmen /Total des suffrages nominatifs;9980;
Zusatzstimmen / Suffrages complémentaires;322;
Parteistimmen / Total des suffrages de parti;10302;
Rang;Name;Vorname;Geb.-Datum;Beruf;Wohnort;Stimmen;Bisher
;Nom;Prénom;Ann. naiss.;Profession;Domicile;Suffrages;Sortant-e
Stimmen haben erhalten/Ont obtenu des suffrages
1;Liechti;Cathrine;1994;Pflegefachfrau;Liebefeld;1'253;
2;Diener;Vera;1997;Floristin;Albligen;1'217;
3;Kunaratnam;Mithushana;1997;Studentin Umweltnaturwissenschaften;Schwarzenburg;1'188;
4;Keller;Chiara;1998;Studentin Rechtswissenschaften;Köniz;1'167;
5;Möll;Ursula;1997;Studentin Sozialanthropologie;Köniz;949;
6;Riese;Vita;1999;Gymnasiastin;Mittelhäusern;886;
7;Schär;Mira;1998;Maturandin;Wabern;854;
