Grossratswahlen 2018 / Election du Grand Conseil 2018
Sitzverteilung und Wähleranteile / Répartition des sièges et pourcentage des voix
Wahlkreis / Cercle électoral: Oberland
Listennr.;Kürzel;Sitze;Frauen;Parteistimmen;Wähleranteil;Gewählte
No liste;Sigle;Sièges;Femmes;Suffrages de parti;Pourcentage;Personnes élues
1;Eidgenössisch-Demokratische Union;1;0;28'544;7.1%;1
2;Evangelische Volkspartei;1;0;20'926;5.2%;1
3;Evangelische Volkspartei Plus;0;0;5'821;1.4%;0
4;Sozialdemokratische Partei und Gewerkschaften Berner Oberland, Frauen;1;1;34'933;8.7%;1
5;Sozialdemokratische Partei und Gewerkschaften Berner Oberland, Männer;1;0;25'913;6.4%;1
6;Schweizerische Volkspartei Interlaken-Oberhasli;2;0;49'855;12.4%;2
7;Schweizerische Volkspartei Frutigen-Niedersimmental;4;1;72'859;18.1%;4
8;Schweizerische Volkspartei Obersimmental-Saanen;1;1;35'757;8.9%;1
9;BDP;1;1;28'740;7.1%;1
10;BDP die Unabhängigen;0;0;8'805;2.2%;0
11;FDP.Die Liberalen Berner Oberland Ost;1;0;22'942;5.7%;1
12;FDP.Die Liberalen Berner Oberland West;1;0;22'273;5.5%;1
13;grünliberale Oberland;1;0;25'074;6.2%;1
14;Grüne;1;0;20'912;5.2%;1
Wahlkreis / Cercle électoral: Oberland
Listennr.;Kürzel;Sitze;Frauen;Parteistimmen;Wähleranteil;Gewählte
No liste;Sigle;Sièges;Femmes;Suffrages de parti;Pourcentage;Personnes élues
;Total:;16;4;403'354;100.0%;16
Wahlberechtigte / Nombre d'électeurs;77'319
Eingelangte Wahlzettel / Bulletins rentrés;26'052
Leere Wahlzettel / Blancs;20
Ungültige Wahlzettel / Nuls;160
Gültige Wahlzettel / Bulletins valables;25'872
Wahlbeteiligung / Participation électorale;33.7%

Liste;1;Eidgenössisch-Demokratische Union
Kürzel / Sigle;EDU;
Sitze / Sièges;1;
Kandidatenstimmen /Total des suffrages nominatifs;24552;
Zusatzstimmen / Suffrages complémentaires;3992;
Parteistimmen / Total des suffrages de parti;28544;
Rang;Name;Vorname;Geb.-Datum;Beruf;Wohnort;Stimmen;Bisher
;Nom;Prénom;Ann. naiss.;Profession;Domicile;Suffrages;Sortant-e
Gewählte/Personnes élues
1;Schwarz;Jakob;1966;Kaufmann, Grossrat;Adelboden;3'885;x
Stimmen haben erhalten/Ont obtenu des suffrages
2;Stoller;Stephan;1981;Landwirt, Angestellter Sportfachhandel;Ried b. Frutigen;2'070;
3;Germann-Trummer;Peter;1970;Meisterlandwirt, Berater Inforama;Adelboden;1'885;
4;Gobeli;Hansjürg;1985;Landwirt, Gemeinderat;Matten b. St. Stephan;1'567;
5;Schranz;Willy;1969;Leiter Administration & Projekte, Gemeinderat;Adelboden;1'505;
6;Trachsel;Stefan;1979;Zimmermann, Laienrichter;Brienz;1'408;
7;Germann-Wüthrich;Adeline;1967;Verkäuferin, LKW-Fahrerin;Frutigen;1'384;
8;Gerber;Bernhard;1981;Landmaschinenmechaniker, Gemeinderat;Weissenburg;1'365;
9;Gafner;Nadja;1996;Dentalassistentin;Erlenbach;1'287;
10;von Siebenthal;Franziska;1965;Familienfrau;Wimmis;1'286;
11;Carisch;Benjamin Johannes;1984;Wirtschaftsinformatiker FH, Mitglied GGR;Spiez;1'205;
12;Feuz;Werner;1953;Technischer Sachbearbeiter;Unterseen;1'201;
13;Zenger;Christian Peter;1980;Seilbahnfachmann, Leiter Technik & Betrieb;Adelboden;1'196;
14;Seematter;Adolf;1964;Schreiner, Käser;Grindelwald;1'138;
15;von Siebenthal;Salome;1997;Kauffrau Bank;Gstaad;1'090;
16;Gradwell;Michael Wiliam;1992;Medizinstudent;Einigen;1'080;

Liste;2;Evangelische Volkspartei
Kürzel / Sigle;EVP;
Sitze / Sièges;1;
Kandidatenstimmen /Total des suffrages nominatifs;18865;
Zusatzstimmen / Suffrages complémentaires;2061;
Parteistimmen / Total des suffrages de parti;20926;
Rang;Name;Vorname;Geb.-Datum;Beruf;Wohnort;Stimmen;Bisher
;Nom;Prénom;Ann. naiss.;Profession;Domicile;Suffrages;Sortant-e
Gewählte/Personnes élues
1;Wenger;Markus;1957;Unternehmer, Grossrat;Spiez;2'960;x
Stimmen haben erhalten/Ont obtenu des suffrages
2;Bach;Hans Peter;1964;Masch. Ing. BSc BFH, Alt-Gemeinderat;Frutigen;1'713;
3;Fink-Eggenberger;Anna;1967;Stillberaterin IBCLC, Gemeinderätin;Spiez;1'548;
4;Bühler;David;1970;Gastgeber Backpackers Villa Interlaken;Interlaken;1'272;
5;Müller;René;1968;Hotelier HF, Vize-Gemeindepräsident;Adelboden;1'253;
6;Inniger-Burn;Fritz;1955;Projektleiter, Alt-Gemeindepräsident;Kandergrund;1'236;
7;Diesbergen;Oskar;1966;Gymnasiallehrer, Mitglied GGR;Spiez;1'033;
8;Grossen;Urs Daniel;1978;Unternehmer, Gemeinderat;Reichenbach;1'019;
9;Lauwiner-Kurzen;Nadja;1973;Erwachsenenbildnerin, Familienfrau;Frutigen;1'012;
10;Luder-Vögeli;Annelise;1962;Pflegefachfrau, Familienfrau;Unterseen;898;
11;Heiniger-Stauffer;Andreas;1961;Heimleiter;Brienz;873;
12;Ringgenberg;Karin;1990;Primarlehrerin;Thun;868;
13;Thalmann;Clemens;1994;Student Soziale Arbeit;Aeschi;825;
14;Gfeller;Heinz;1953;Milchsammelstellenleiter, Pfarrer EGW;Matten b. St. Stephan;806;
15;Beutter-Pfister;Beat;1964;Leiter CVJM Zentrum Hasliberg;Hasliberg Hohfluh;776;
