Grossratswahlen 2018 / Election du Grand Conseil 2018
Rangliste aller Kandidaten nach Stimmen im Wahlkreis Oberland / Classement des candidat-e-s par suffrages dans le cercle électoral de Oberland
Name/nom;Liste/liste;Jahrgang/Ann.;Wohnort/domicile;Stim./suff.;Gew./elu-e;Bish./Sort.
Knutti Thomas;7 SVP Frutigen-Niedersimmental;1973;Weissenburg;8'395;*;x
Zybach Ursula;4 SP Frauen;1967;Spiez;6'901;*;x
Graf Urs;5 SP Männer;1957;Interlaken;6'094;*;x
Luginbühl-Bachmann Anita;9 BDP;1960;Krattigen;6'012;*;x
Martinelli Enea;9 BDP;1965;Matten b. Interlaken;5'034;;
Speiser-Niess Anne;8 SVP Obersimmental-Saanen;1961;Zweisimmen;4'910;*;x
Flück Peter;11 FDP Liste Ost;1957;Interlaken;4'666;*;x
Josi Barbara;7 SVP Frutigen-Niedersimmental;1965;Wimmis;4'548;*;
Zimmermann Kurt;7 SVP Frutigen-Niedersimmental;1953;Frutigen;4'279;*;
Wandfluh Ernst;7 SVP Frutigen-Niedersimmental;1976;Kandergrund;4'004;*;
Wyssen Kilian;8 SVP Obersimmental-Saanen;1960;Matten b. St. Stephan;3'936;;
Michel Andreas;6 SVP Interlaken-Oberhasli;1957;Schattenhalb;3'902;*;
Schwarz Jakob;1 EDU;1966;Adelboden;3'885;*;x
Bach Albert;8 SVP Obersimmental-Saanen;1959;Gstaad;3'754;;
Egger Martin;13 glp;1964;Frutigen;3'694;*;x
Boss Martin;14 Grüne;1958;Saxeten;3'621;*;x
Klossner Thomas;7 SVP Frutigen-Niedersimmental;1974;Latterbach;3'450;;
Abplanalp Ueli;6 SVP Interlaken-Oberhasli;1971;Brienzwiler;3'390;*;
Tschiemer Heinz;6 SVP Interlaken-Oberhasli;1983;Habkern;3'359;;
Bütschi Peter;7 SVP Frutigen-Niedersimmental;1964;Frutigen;3'342;;
Schär Hans;12 FDP Liste West;1959;Schönried;3'262;*;x
Dummermuth Thomas;6 SVP Interlaken-Oberhasli;1979;Meiringen;2'998;;
Wiedmer Martin;7 SVP Frutigen-Niedersimmental;1973;Zwischenflüh;2'992;;
Wenger Markus;2 EVP;1957;Spiez;2'960;*;x
Ritschard Jürgen;6 SVP Interlaken-Oberhasli;1955;Unterseen;2'902;;
Huber Susanne;6 SVP Interlaken-Oberhasli;1968;Spiez;2'901;;
Bieri Adrian;8 SVP Obersimmental-Saanen;1976;Boltigen;2'892;;
Baumann Hans Peter;6 SVP Interlaken-Oberhasli;1953;Grindelwald;2'760;;
Nyffeler-Lanker Manuela;6 SVP Interlaken-Oberhasli;1986;Interlaken;2'746;;
Thöni Albrecht;6 SVP Interlaken-Oberhasli;1958;Brienz;2'701;;
Raaflaub Emanuel;8 SVP Obersimmental-Saanen;1962;Turbach;2'681;;
Christ Franz;6 SVP Interlaken-Oberhasli;1965;Interlaken;2'666;;
Siegenthaler Mathias;12 FDP Liste West;1983;Wimmis;2'631;;
Brunner Matthias;8 SVP Obersimmental-Saanen;1967;Gstaad;2'530;;
Matti Matthias;9 BDP;1970;Zweisimmen;2'471;;
Reichenbach Daniel;7 SVP Frutigen-Niedersimmental;1975;Aeschi b. Spiez;2'466;;
Kohler Beat;14 Grüne;1974;Meiringen;2'460;;
Hodel Ernst;9 BDP;1949;Zweisimmen;2'436;;
Aeschimann Peter;11 FDP Liste Ost;1951;Matten b. Interlaken;2'424;;
Martinelli Alessandra;9 BDP;1994;Matten b. Interlaken;2'302;;
Von Bergen Monika;4 SP Frauen;1966;Hasliberg Goldern;2'246;;
Fiechter Nils;7 SVP Frutigen-Niedersimmental;1996;Frutigen;2'224;;
Kempf Schluchter Annemarie;4 SP Frauen;1954;Hünibach;2'172;;
Buchser Rudolf;7 SVP Frutigen-Niedersimmental;1962;Adelboden;2'083;;
Stoller Stephan;1 EDU;1981;Ried b. Frutigen;2'070;;
Trachsel Bruno;6 SVP Interlaken-Oberhasli;1950;Leissigen;2'070;;
Brügger Daniel;14 Grüne;1958;Spiez;2'067;;
Hurni-Dähler Beatrix;4 SP Frauen;1969;Frutigen;2'055;;
Schneider Rudolf;7 SVP Frutigen-Niedersimmental;1964;Reichenbach;2'045;;
von Allmen Daniel;7 SVP Frutigen-Niedersimmental;1947;Adelboden;2'038;;
Bossard Gartenmann Annemarie;6 SVP Interlaken-Oberhasli;1958;Matten b. Interlaken;1'973;;
Kallen Urs;7 SVP Frutigen-Niedersimmental;1956;Frutigen;1'953;;
Baumann Eliane;4 SP Frauen;1969;Spiez;1'950;;
Schläppi Emanuel;11 FDP Liste Ost;1960;Grindelwald;1'921;;
Wirz Therese;9 BDP;1965;Brienz;1'912;;
Zimmermann Ulrich;7 SVP Frutigen-Niedersimmental;1967;Spiez;1'888;;
Urfer Jan;9 BDP;1982;Spiez;1'888;;
Germann-Trummer Peter;1 EDU;1970;Adelboden;1'885;;
Oehrli-Pekoll Ruth;8 SVP Obersimmental-Saanen;1964;Lauenen;1'837;;
Roder Beer Verena;4 SP Frauen;1959;Unterseen;1'805;;
Benz-Mattman Angela;6 SVP Interlaken-Oberhasli;1963;Interlaken;1'783;;
